Model,Checkpoint,Repository path,Exists,Size (MB),SHA256
Intermediate — Baseline,C:\Users\lollo\Documents\GitHub\deep-learning-wafer-defects\project\cnn_outputs_intermediate\checkpoints\intermediate_baseline.weights.h5,project/cnn_outputs_intermediate/checkpoints/intermediate_baseline.weights.h5,True,1.9639511108398438,2c8f7afc5997e12c02060386c41022d0e24cc55b6c99fe6679eb5d1203bab025
Intermediate — He initialization,C:\Users\lollo\Documents\GitHub\deep-learning-wafer-defects\project\cnn_outputs_intermediate\checkpoints\intermediate_he_initialization.weights.h5,project/cnn_outputs_intermediate/checkpoints/intermediate_he_initialization.weights.h5,True,1.9639511108398438,203454b8ca0aefc8c7dbc9ab92b3be4143e640be20e1c36a0d19a41c1f93c59b
Intermediate — He + arbitrary rotations,C:\Users\lollo\Documents\GitHub\deep-learning-wafer-defects\project\cnn_outputs_intermediate\checkpoints\intermediate_he_arbitrary_rotations.weights.h5,project/cnn_outputs_intermediate/checkpoints/intermediate_he_arbitrary_rotations.weights.h5,True,1.9639511108398438,8724c1ddbe08e63b7cf99ae95368ec115837c7fc2ab600d568537e4a36dc18f0
Intermediate — He + safe flips,C:\Users\lollo\Documents\GitHub\deep-learning-wafer-defects\project\cnn_outputs_intermediate\checkpoints\intermediate_he_safe_flips.weights.h5,project/cnn_outputs_intermediate/checkpoints/intermediate_he_safe_flips.weights.h5,True,1.9639511108398438,6ee045148b98b566581fdceeafebc9098cafc13c07bfc6866c392bdc3d4a1d0c
Intermediate — He + safe flips + L2,C:\Users\lollo\Documents\GitHub\deep-learning-wafer-defects\project\cnn_outputs_intermediate\checkpoints\intermediate_he_safe_flips_l2.weights.h5,project/cnn_outputs_intermediate/checkpoints/intermediate_he_safe_flips_l2.weights.h5,True,1.9639511108398438,cb256900c15d452d33641c30a48c25cbe51e3ef75cedb0d8d2861542e03b97a4
Intermediate optimizer — SGD + Nesterov,C:\Users\lollo\Documents\GitHub\deep-learning-wafer-defects\project\cnn_outputs_intermediate\checkpoints\intermediate_optimizer_sgd_nesterov.weights.h5,project/cnn_outputs_intermediate/checkpoints/intermediate_optimizer_sgd_nesterov.weights.h5,True,1.9639511108398438,1ce0a1d6b3c22096e88f0b7ff3e41b8a8ee12e389efe025cac1aee26a49e9a1c
Intermediate optimizer — RMSprop,C:\Users\lollo\Documents\GitHub\deep-learning-wafer-defects\project\cnn_outputs_intermediate\checkpoints\intermediate_optimizer_rmsprop.weights.h5,project/cnn_outputs_intermediate/checkpoints/intermediate_optimizer_rmsprop.weights.h5,True,1.9639511108398438,12a6395a36dace008ad282f7deef0924cfd1ac3ed84dfcbc1b9bcb7c81954f7a
Intermediate optimizer — Nadam,C:\Users\lollo\Documents\GitHub\deep-learning-wafer-defects\project\cnn_outputs_intermediate\checkpoints\intermediate_optimizer_nadam.weights.h5,project/cnn_outputs_intermediate/checkpoints/intermediate_optimizer_nadam.weights.h5,True,1.9639511108398438,eb28d72e6bb61e03b145741d8d80b9771411f43b1bcbed9767fc0384f2efc994
