Architecture,Selected model,Conv filters,Dense units,Parameters,Validation Accuracy,Validation Balanced Accuracy,Validation Macro Precision,Validation Macro Recall,Validation Macro F1,Test Accuracy,Test Balanced Accuracy,Test Macro Precision,Test Macro Recall,Test Macro F1
INTERMEDIATE,Intermediate optimizer — SGD + Nesterov,"[24, 48, 96]","[96, 9]",505449,0.9596808387619011,0.9057858196284864,0.8176043190269771,0.9057858196284864,0.8564238397052574,0.9579936397802833,0.8532966964412794,0.8102894965850371,0.8532966964412794,0.8228881933737298
FULL,Optimizer study — Nadam,"[32, 64, 128]","[128, 9]",897673,0.960143391280885,0.9047934734427057,0.8177112460897925,0.9047934734427057,0.8563516457326537,0.9568372361954322,0.8732195289167749,0.7991112723485175,0.8732195289167749,0.8313903602309531
